#{"t_start": 1752082681.5542989, "env_id": "None"}
r,l,t,reason
-0.684028,193,10742.107038,goal_reached
-1.424739,72,10762.067998,collision
-2.953746,321,10832.011851,collision
-1.260426,91,10855.547931,collision
-2.257032,155,10892.054449,goal_reached
-1.388528,39,10905.088661,collision
-2.989038,167,10943.935074,collision
-2.042128,165,10982.357167,goal_reached
-1.131182,71,11001.913979,collision
-0.728006,147,11036.731194,goal_reached
0.004999,102,11062.572694,goal_reached
-0.142956,159,11099.919357,goal_reached
0.189237,111,11127.544974,goal_reached
0.421026,136,11160.212662,goal_reached
-0.354928,199,11205.583437,goal_reached
0.70719,145,11240.063601,goal_reached
0.434605,101,11265.673319,goal_reached
-1.619014,93,11289.631459,collision
1.718651,107,11316.349123,goal_reached
0.698516,158,11353.450165,goal_reached
-0.560539,134,11385.706778,goal_reached
-1.714756,58,11402.605508,collision
-3.784826,117,11556.387203,collision
-4.210606,131,11587.934243,collision
0.808551,124,11618.197929,goal_reached
-1.310075,48,11633.060148,collision
-2.866094,58,11649.856523,collision
1.369632,78,11670.693167,goal_reached
-1.248228,42,11684.294609,collision
0.094503,160,11721.632262,goal_reached
1.23897,203,11767.889249,goal_reached
-0.223036,157,11804.901815,goal_reached
-1.348389,83,11826.803164,collision
1.525445,79,11847.984323,goal_reached
-2.155733,82,11869.690348,collision
1.588733,83,11891.55185,goal_reached
1.197285,85,11913.990933,goal_reached
0.518496,116,11942.604309,goal_reached
-2.710128,98,11967.580812,collision
-4.738875,156,12004.152504,collision
-4.618132,117,12032.840296,collision
0.567915,151,12068.526161,goal_reached
1.409576,82,12090.214203,goal_reached
-0.655736,245,12144.941961,goal_reached
-2.44672,107,12171.699037,collision
0.538297,92,12195.326537,goal_reached
-1.382119,275,12256.135572,goal_reached
-3.289259,156,12292.966231,collision
-0.088166,240,12346.713863,goal_reached
0.767648,144,12381.00704,goal_reached
-0.077065,153,12417.186483,goal_reached
0.782182,138,12450.222966,goal_reached
-1.327543,34,12462.142706,collision
-0.184112,210,12509.705306,goal_reached
-6.688142,397,12595.251574,collision
1.47512,68,12614.070064,goal_reached
-10.82616,273,12674.555485,collision
-1.816885,61,12691.991376,collision
-1.490948,30,12703.122035,collision
1.309869,87,12725.808182,goal_reached
-1.092352,102,12903.748745,collision
0.768981,98,12928.571243,goal_reached
1.722605,78,12949.439185,goal_reached
-1.520609,76,12969.950661,collision
0.951615,148,13005.002856,goal_reached
-2.282485,138,13038.014933,collision
-2.381798,52,13053.57491,collision
-2.001032,42,13067.130875,collision
-3.842104,359,13144.839013,collision
-1.982051,290,13208.651734,goal_reached
0.217465,298,13274.097455,goal_reached
-3.721519,175,13314.719229,collision
-3.204555,86,13337.193926,collision
-5.254949,367,13416.581185,goal_reached
0.905394,151,13452.359778,goal_reached
-4.034654,401,13538.625,collision
-2.676141,246,13593.628726,collision
1.586093,95,13617.871777,goal_reached
-6.199692,327,13689.188948,collision
-1.073251,217,13738.226051,goal_reached
1.240907,120,13767.670537,goal_reached
-1.924959,59,13784.716415,collision
-13.555293,1077,14007.993841,goal_reached
0.00953,198,14207.788431,goal_reached
-1.983943,84,14229.902917,collision
-1.016689,179,14271.206048,goal_reached
0.377195,113,14299.05103,goal_reached
-0.15857,181,14340.853106,goal_reached
-2.723908,111,14368.50542,collision
1.312551,145,14403.08631,goal_reached
-3.790626,301,14469.111187,collision
-3.012279,156,14505.741779,collision
1.181866,75,14525.920567,goal_reached
0.501265,111,14553.532439,goal_reached
-1.350088,257,14610.610552,goal_reached
1.561703,100,14636.02637,goal_reached
1.076506,135,14668.525309,goal_reached
-1.145138,59,14685.622022,collision
-2.835856,111,14713.115973,collision
0.614559,126,14743.642257,goal_reached
-1.279851,66,14762.148061,collision
-0.967562,248,14817.345753,no_progress
0.031073,167,14856.137879,goal_reached
-3.572777,74,14876.354627,collision
-0.886436,414,14965.19474,goal_reached
-6.615962,228,15016.854123,collision
-1.652951,164,15055.083101,collision
1.52388,93,15078.988316,goal_reached
1.260129,133,15111.024095,goal_reached
-1.71501,180,15152.558554,goal_reached
-1.445176,429,15244.540094,goal_reached
-0.409061,259,15302.158745,goal_reached
1.533615,125,15332.636129,goal_reached
0.170179,188,15738.245291,goal_reached
-1.149088,191,15782.046273,goal_reached
-0.695526,233,15834.221728,goal_reached
-2.596834,221,15884.121337,collision
-0.263964,120,15913.493224,goal_reached
-2.38293,215,15962.459581,collision
-1.7241,35,15974.550064,collision
-1.65194,170,16013.972685,goal_reached
-0.356529,441,16108.472034,goal_reached
-2.445452,220,16158.059374,goal_reached
1.438608,85,16180.392417,goal_reached
-1.503239,43,16194.204156,collision
-0.251034,107,16220.903262,goal_reached
-3.053137,89,16244.266488,collision
-0.793512,183,16286.31518,goal_reached
-4.13874,408,16374.048776,goal_reached
0.7096,215,16422.72428,goal_reached
-2.195942,175,16463.314531,collision
-1.782259,46,16477.666248,collision
1.518843,114,16505.815921,goal_reached
1.683165,122,16535.593531,goal_reached
-1.26899,99,16560.844672,collision
1.424963,184,16603.131827,goal_reached
-3.944246,142,16637.022866,collision
1.677546,108,16663.920884,goal_reached
-0.113817,281,16725.988542,goal_reached
-4.399594,458,16823.814765,collision
1.001897,121,16853.381828,goal_reached
0.154089,179,17436.520985,goal_reached
-1.942378,102,17462.366883,collision
-2.444285,63,17480.148105,collision
1.698497,104,17506.280023,goal_reached
-0.790609,413,17594.998569,no_progress
-2.765674,198,17640.154865,collision
1.839225,158,17677.233995,goal_reached
-2.476715,199,17722.646583,goal_reached
-1.367793,102,17748.434786,collision
-1.329173,54,17764.394798,collision
1.587517,82,17786.040417,goal_reached
-1.859868,176,17826.78838,goal_reached
-1.509828,52,17842.430535,collision
1.37368,147,17877.200969,goal_reached
0.588171,171,17916.865722,goal_reached
1.418217,124,17947.104687,goal_reached
-0.029645,145,17981.605947,goal_reached
-1.678482,176,18022.344938,collision
-3.989977,172,18062.199792,collision
-1.885665,188,18105.307624,collision
-3.137318,243,18159.406298,collision
-0.561436,103,18185.399068,goal_reached
0.661602,189,18228.860659,goal_reached
1.635409,87,18251.623068,goal_reached
-3.445624,202,18297.719611,goal_reached
1.2946,80,18319.036709,goal_reached
-3.124813,205,18365.543499,collision
1.28926,108,18392.523309,goal_reached
0.601153,250,18448.271594,goal_reached
-0.126906,242,18502.325379,goal_reached
1.07056,231,18554.220049,goal_reached
-3.212392,318,18781.202257,goal_reached
0.362341,165,18819.7225,goal_reached
-3.992138,111,18847.277746,collision
-0.927984,236,18900.153461,goal_reached
