#{"t_start": 1749968972.9038224, "env_id": "None"}
r,l,t
-0.675152,39,5032.036932
-0.602512,149,5063.045355
-0.774523,35,5070.989303
-0.570014,31,5078.105982
-0.566783,3,5079.556956
-0.518558,63,5093.156005
-0.643893,52,5104.518846
-0.587013,24,5110.202499
-0.554041,134,5138.170993
-0.76708,11,5141.32906
-0.552785,43,5150.860459
-0.577069,40,5159.794797
-0.57932,104,5181.68742
0.739144,185,5220.029546
-0.869004,64,5233.798688
-0.571718,55,5245.764888
-0.614651,59,5258.547565
-0.669415,118,5283.296412
0.747439,184,5321.318924
0.778062,1,5322.358122
0.844325,227,5369.015385
0.71997,1,5370.055891
-0.504941,4,5371.697371
-0.514075,22,5377.009097
-0.559782,99,5397.89073
-0.697462,59,5410.716483
-0.965579,315,5475.399265
-0.78387,78,5492.091522
-0.680344,44,5501.881232
-0.55895,41,5511.024239
-0.601292,65,5525.03945
-0.668899,68,5539.696159
-0.597193,54,5551.519061
-0.613497,59,5564.312939
-0.656074,158,5597.142063
-0.78143,37,5605.550963
-0.146711,47,5615.850841
-0.558219,122,5641.306362
-0.695397,105,5663.432272
-0.735945,89,5682.2051
-0.66184,7,5684.560722
-0.507028,90,5703.664469
-0.702797,12,5706.916272
-0.554821,158,5739.756981
-0.346538,43,5749.332396
-0.58096,41,5758.48763
-0.522802,99,5779.343604
-0.732734,65,5793.360666
-0.63116,59,5806.17696
-0.613751,44,5815.955084
-0.582435,66,5830.160332
0.815117,186,5868.675849
0.702444,1,5869.734231
-0.502687,44,5879.548575
-0.596195,25,5885.436374
-0.539671,100,5906.472682
-0.724445,21,5911.573395
-0.568832,49,5922.280747
-0.570786,15,5926.166364
-0.559241,53,5937.70156
-0.225091,78,6079.391024
-0.07473,37,6087.771586
-0.516581,5,6089.633469
-0.495908,128,6116.371516
-0.761873,102,6137.932251
-0.239642,21,6142.99383
-0.511029,69,6157.82181
-0.720144,171,6193.269924
-0.773654,36,6201.420211
-0.564388,17,6205.684668
-0.53849,5,6207.566216
-0.508289,30,6214.482081
-0.607829,26,6220.605409
-0.509946,31,6227.710784
-0.570999,50,6238.657809
-0.604827,4,6240.311993
-0.5064,21,6245.405587
-0.546967,38,6253.918499
-0.591838,53,6265.479568
-0.603815,10,6268.36978
-0.534663,49,6279.139464
-0.598539,47,6289.466478
-0.579114,3,6290.905333
0.845742,223,6336.714632
0.71549,1,6337.770315
-0.499658,18,6342.249404
-0.550012,101,6363.57605
0.647589,229,6410.821196
-0.805892,32,6418.236037
-0.547138,66,6432.4401
-0.288578,154,6464.371018
-0.264057,47,6474.771207
-0.054135,34,6482.495346
-0.078812,38,6491.138712
-0.567109,25,6497.035407
-0.085646,39,6505.723932
-0.511683,112,6529.211254
-0.754622,115,6553.212702
-0.727402,26,6559.418921
-0.502716,57,6571.776383
-0.648966,90,6590.747003
-0.663152,4,6592.490196
-0.562718,126,6618.74478
-0.694877,59,6631.62184
-0.627638,50,6642.539277
-0.640509,118,6667.180493
-0.719261,63,6680.771912
-0.646599,63,6694.339356
-0.594355,38,6702.885688
-0.570776,28,6709.387903
-0.58815,52,6720.735888
-0.57896,53,6732.279938
-0.601974,12,6735.554808
-0.52814,48,6746.080384
-0.593991,5,6747.945685
-0.527651,48,6758.508086
-0.606917,58,6771.054499
-0.617841,56,6783.172014
-0.626093,59,6795.96646
-0.645685,111,6819.197401
-0.674296,9,6821.832327
-0.519413,69,6836.577158
-0.664226,98,6857.220027
-0.689696,101,6878.473601
-0.706006,59,6891.209046
-0.60628,33,6898.742104
-0.633309,63,6912.280413
-0.583964,51,6923.42047
-0.575091,5,6925.29826
-0.527106,50,6936.240542
-0.638322,61,6949.388679
-0.597688,103,6971.07263
-0.754724,164,7005.138435
-0.771363,35,7013.047682
-0.571109,50,7023.98267
0.835798,189,7062.979362
-0.834254,109,7085.872398
-0.758687,184,7123.925454
-0.809176,61,7137.149924
-0.719878,57,7217.303026
0.99543,148,7248.052325
-0.814682,22,7253.389399
-0.50078,95,7273.435401
-0.725393,15,7277.316433
-0.551526,56,7289.517284
-0.603761,31,7296.630818
-0.584812,90,7315.652334
-0.653186,58,7328.308093
-0.65707,167,7362.842487
-0.806161,28,7369.358464
-0.601428,54,7381.195283
-0.55628,4,7382.839919
-0.523838,45,7392.820014
-0.587109,53,7404.378323
-0.637628,63,7417.970409
-0.604803,55,7429.927706
-0.644002,63,7443.535226
-0.648494,156,7475.978522
-0.781209,57,7488.382174
-0.577414,35,7496.377121
-0.592024,100,7517.564455
-0.714175,65,7531.545911
-0.623053,60,7544.522296
0.79121,203,7586.498106
0.702831,1,7587.552088
-0.538263,48,7598.155569
-0.561275,4,7599.822459
-0.520156,95,7619.91633
-0.689146,57,7632.295388
-0.622122,91,7651.557415
-0.692416,43,7661.060301
-0.588279,104,7682.927743
-0.703472,48,7693.451232
-0.589525,9,7696.099343
-0.564398,118,7720.768555
-0.713226,36,7728.92457
-0.582675,39,7737.653398
-0.556308,14,7741.348245
-0.527258,4,7743.015292
-0.511677,30,7749.917172
-0.097207,23,7755.409851
-0.51419,32,7762.738939
-0.563535,11,7765.815193
-0.51857,41,7774.939809
-0.620599,106,7797.259488
-0.735449,49,7808.015798
-0.557116,65,7822.038227
-0.630533,61,7835.349496
-0.614995,7,7837.639466
-0.524878,53,7849.241595
0.853988,172,7885.01888
0.702402,1,7886.065046
-0.556485,163,7919.970193
-0.797243,37,7928.375583
0.923447,159,7961.343175
0.700484,1,7962.393074
-0.496751,19,7967.063435
0.932561,159,8000.033289
0.701507,1,8001.120392
0.971503,163,8034.866468
-0.808797,31,8042.043397
-0.566653,52,8053.386111
0.865085,170,8088.522496
-0.414422,55,8100.523641
-0.151876,71,8115.70903
-0.496502,24,8121.416469
-0.560028,41,8130.596066
-0.586844,54,8142.397727
-0.589492,9,8145.093394
-0.546977,47,8155.441822
-0.577266,53,8167.018724
-0.62872,163,8200.859088
-0.817331,34,8208.575022
-0.571666,103,8230.23635
-0.748224,114,8254.183936
-0.682247,22,8259.470188
-0.927431,287,8394.656075
-0.730334,65,8408.79201
-0.634454,115,8432.881212
-0.80449,174,8468.959035
-0.750875,59,8481.726413
-0.619544,68,8496.330487
-0.630979,81,8513.653743
-0.669172,48,8524.198176
-0.605524,109,8547.059144
-0.710206,97,8567.553793
-0.698771,38,8576.109184
-0.576887,46,8586.271698
-0.585786,57,8598.645744
-0.647415,63,8612.277401
-0.59428,56,8624.435047
-0.638964,64,8638.1805
-0.633637,110,8661.273553
-0.683407,9,8664.002991
-0.553595,109,8686.906976
-0.700216,81,8704.110078
-0.77595,200,8745.419234
-0.793852,38,8753.939282
-0.604202,91,8773.180747
-0.691073,73,8788.85492
-0.606337,23,8794.349505
-0.578046,44,8804.087786
-0.638263,102,8825.577702
-0.673275,124,8851.602142
-0.716596,41,8860.759181
0.791496,223,8906.838511
0.700029,1,8907.875098
-0.503881,19,8912.575761
-0.089923,60,8925.590169
-0.581046,30,8932.479343
-0.103217,39,8941.198398
-0.577324,65,8955.174373
-0.581016,10,8958.058101
-0.528889,45,8967.981673
-0.60115,51,8979.11918
-0.633531,43,8988.641707
-0.544953,7,8990.921919
0.97654,155,9023.058373
0.70063,1,9024.109591
-0.522728,37,9032.428274
0.871214,185,9070.670562
0.700378,1,9071.717723
-0.557053,60,9084.712803
-0.583078,48,9095.232583
-0.588041,75,9111.207839
-0.714577,89,9130.051559
-0.636254,136,9158.435371
-0.801188,112,9181.916772
0.736553,192,9221.674521
-0.818147,121,9246.98322
-0.742453,74,9262.772858
-0.648857,41,9271.911904
-0.628215,118,9296.635752
0.718382,196,9337.126607
0.701453,1,9338.176675
-0.534124,53,9349.738001
-0.648089,62,9363.187362
-0.565303,50,9374.169481
-0.613059,56,9386.353386
-0.608427,78,9403.057993
-0.277309,143,9432.802562
-0.943872,225,9580.66449
-0.68066,48,9591.316845
-0.574655,10,9594.181844
-0.542398,44,9603.932375
-0.56922,102,9625.430781
0.795438,150,9656.691905
-0.828935,54,9668.555917
0.893404,163,9702.449564
0.983041,1,9703.499491
-0.53492,113,9727.252846
-0.711229,29,9734.04974
-0.592996,91,9753.358875
-0.723493,43,9763.006763
-0.512799,36,9771.194616
-0.601546,86,9789.466255
-0.634881,25,9795.354716
-0.580338,104,9817.236825
-0.724721,120,9842.287945
-0.725421,23,9847.763811
-0.527518,60,9860.752291
-0.640563,89,9879.553083
-0.731257,161,9912.948159
-0.764804,80,9929.912726
-0.741446,160,9963.042506
-0.757607,43,9972.665672
-0.584077,31,9979.77129
-0.537724,6,9981.818594
-0.051841,21,9986.868201
-0.554067,57,9999.239932
-0.603026,51,10010.364868
0.88969,171,10045.723719
0.7012,1,10046.784677
0.939446,179,10083.755916
-0.833315,114,10107.66987
-0.725747,21,10112.874375
-0.562756,114,10136.717816
-0.720766,37,10145.076025
-0.559691,30,10151.967192
-0.545542,5,10153.848521
-0.53387,80,10170.876545
-0.645857,63,10184.588884
-0.64201,63,10198.212829
-0.644217,64,10212.039519
-0.664905,67,10226.436211
-0.587311,52,10237.798646
-0.633133,116,10262.08097
-0.688212,58,10274.79722
-0.601155,3,10276.260808
-0.508482,6,10278.328731
-0.543895,101,10299.565806
0.683368,219,10344.653216
0.702149,1,10345.696133
-0.496595,18,10350.173097
-0.527737,129,10377.077542
-0.746409,108,10399.718171
-0.791982,23,10405.193956
-0.532576,90,10424.220209
-0.32392,82,10441.722769
-0.554434,27,10448.022973
-0.084924,36,10456.108688
-0.065327,36,10464.224392
-0.570579,122,10489.721458
0.756055,185,10527.934351
-0.840154,78,10544.442072
-0.668746,45,10554.315584
0.441745,155,10586.310001
0.702438,1,10587.380165
-0.516354,68,10601.988281
-0.696708,122,10704.599616
-0.73208,68,10719.246068
-0.588992,4,10720.922086
-0.531139,106,10743.207688
-0.728764,61,10756.467694
-0.588491,55,10768.478957
-0.624197,60,10781.487823
-0.651166,65,10795.510399
-0.577197,50,10806.475722
-0.634772,92,10825.959167
-0.690361,22,10831.24854
-0.562884,67,10845.661253
-0.626647,59,10858.459721
-0.624762,111,10881.75236
-0.77458,67,10896.218308
-0.567017,58,10908.75872
-0.629728,59,10921.560961
-0.606402,56,10933.732963
-0.609656,58,10946.298
-0.62502,60,10959.25509
-0.620823,60,10972.32936
-0.653103,65,10986.312956
-0.603224,54,10998.09148
-0.592508,5,10999.988824
-0.512406,110,11023.121326
-0.732332,8,11025.569726
-0.513617,101,11046.879474
-0.729453,64,11060.833682
-0.605122,57,11073.241854
-0.623133,59,11086.127123
-0.656196,82,11103.595212
-0.617911,40,11112.534242
-0.587562,11,11115.59874
-0.053677,21,11120.66853
-0.526986,30,11127.551286
-0.56127,49,11138.313197
-0.618248,46,11148.456419
-0.620205,128,11175.138885
-0.709347,7,11177.391706
-0.554564,112,11200.844523
0.765595,183,11238.619315
-0.835969,65,11252.653322
-0.620797,57,11264.972496
-0.630014,40,11273.917632
-0.556306,28,11280.417064
-0.54972,30,11287.308079
-0.571252,26,11293.429927
-0.598662,56,11305.572511
-0.620862,57,11317.902593
-0.589905,41,11327.026641
-0.586633,95,11347.082004
-0.679851,38,11355.618487
-0.570333,33,11363.110124
-0.554698,3,11364.543877
-0.507706,22,11369.865192
-0.551994,31,11376.973643
-0.580889,97,11397.446769
-0.689629,7,11399.731292
-0.51383,4,11401.448162
-0.507115,26,11407.55161
-0.574702,48,11418.129848
-0.623383,56,11430.30409
-0.606747,59,11443.102059
-0.616854,34,11450.851842
-0.589008,23,11456.328303
-0.080064,48,11466.846328
-0.109058,45,11476.763693
-0.099937,45,11486.694463
-0.07236,40,11495.596927
-0.494619,3,11497.098456
-0.509705,3,11498.550835
-0.537653,43,11508.099893
-0.574084,50,11519.052174
-0.608819,33,11526.568542
-0.085277,21,11531.627921
-0.52257,109,11554.486109
-0.708549,6,11556.56244
-0.523503,56,11568.791119
-0.605841,25,11574.682082
-0.551079,6,11576.768094
-0.511704,4,11578.440824
-0.515737,27,11584.74383
-0.557609,47,11595.111871
-0.608226,28,11601.622317
-0.565514,36,11609.738247
-0.563139,34,11617.46828
-0.586191,24,11623.144517
-0.538165,45,11633.067522
-0.58711,5,11634.927544
-0.555223,46,11645.064859
-0.634897,170,11680.215034
-0.634426,179,11717.18155
-0.065176,52,11728.578589
-0.576319,37,11736.906832
-0.604263,58,11749.46189
-0.594372,56,11761.61627
-0.578043,52,11772.956194
-0.58189,3,11774.432662
0.935914,177,11868.970752
-0.849209,26,11875.134435
-0.597186,107,11897.71928
-0.631027,113,11921.569717
-0.747349,76,11937.784333
-0.645366,11,11940.920977
-0.525467,40,11949.850655
-0.592185,62,11963.256291
-0.613578,57,11975.644984
-0.60246,7,11977.91023
-0.516705,49,11988.672271
-0.612382,59,12001.478386
-0.645501,27,12007.776657
-0.515056,7,12010.045514
-0.574061,77,12026.489513
-0.588168,57,12038.930375
-0.646937,62,12052.29632
-0.625033,60,12065.297687
-0.614561,59,12078.1208
-0.631329,60,12091.121948
-0.600784,15,12095.007761
-0.57961,45,12104.937571
-0.545218,53,12116.489428
-0.61141,56,12128.617063
-0.610243,47,12138.942501
-0.637869,56,12151.074064
-0.149702,60,12164.133395
-0.591162,74,12179.880344
-0.645451,59,12192.775832
-0.585747,56,12204.937371
-0.56544,113,12228.596607
-0.749939,30,12235.600197
-0.574067,130,12262.711752
-0.744589,34,12270.493243
-0.566913,3,12271.927522
-0.54181,86,12290.148062
-0.677542,48,12300.68956
-0.585752,35,12308.59139
-0.679363,158,12341.507418
-0.716006,87,12359.976706
-0.672708,50,12370.974652
-0.642865,59,12383.762572
-0.586656,36,12391.893795
-0.100673,32,12399.217969
-0.066657,35,12407.147186
-0.09328,49,12417.968669
-0.109713,46,12428.117858
-0.505983,31,12435.25855
-0.571656,41,12444.409422
-0.605584,63,12458.033734
-0.606486,36,12466.17513
-0.610661,50,12477.129981
-0.568463,39,12485.873386
-0.578687,31,12492.989954
-0.593891,21,12498.062948
-0.076808,40,12506.97484
-0.537731,30,12513.915061
-0.135227,47,12524.22222
-0.529384,55,12536.176334
-0.622521,61,12549.379993
-0.610593,45,12559.314676
-0.633594,56,12571.472783
-0.561583,33,12579.010358
-0.534488,18,12583.506174
-0.237391,113,12607.113655
-0.535358,12,12610.384362
-0.141979,76,12626.6459
-0.066811,33,12634.119226
-0.084763,41,12643.340895
-0.541911,20,12648.212021
