#{"t_start": 1750414829.6659367, "env_id": "None"}
r,l,t,reason
-0.856557,82,6945.218848,collision
-1.043264,37,6955.603881,collision
1.351063,165,6991.9066,goal_reached
0.604127,196,7034.331665,goal_reached
-1.670006,3,7037.811684,collision
-0.672111,59,7052.66734,collision
-0.883179,53,7066.262713,collision
-0.948583,47,7078.691954,collision
-0.869418,51,7091.905979,collision
-0.963618,44,7103.862143,collision
-1.019715,3,7107.381126,collision
-0.527327,121,7134.77595,collision
1.00271,162,7170.424992,goal_reached
-1.463958,78,7189.034653,collision
-1.083996,36,7198.89907,collision
-0.790861,72,7216.3516,collision
-0.984472,57,7230.773467,collision
-0.92491,47,7243.1926,collision
-0.892574,46,7255.420239,collision
-1.052437,3,7258.924184,collision
-0.418334,136,7289.273839,collision
-1.461572,6,7293.360542,collision
-0.67664,53,7307.05451,collision
-0.793321,85,7327.145878,collision
-1.257548,3,7330.804665,collision
-0.612769,101,7354.147016,collision
-1.221812,4,7357.847,collision
-0.463328,100,7381.00146,collision
-1.046656,109,7406.1127,collision
-1.305713,21,7413.252629,collision
-0.756399,48,7425.838322,collision
1.281977,182,7465.513434,goal_reached
-1.374918,127,7494.064917,collision
-1.075972,116,7520.562919,collision
-1.227014,79,7539.464705,collision
-1.055047,3,7542.929062,collision
1.514,170,7580.191956,goal_reached
-1.541461,49,7701.764935,collision
-0.909952,50,7714.735401,collision
-0.894482,49,7727.514077,collision
-1.060363,4,7731.254309,collision
-0.730508,34,7740.990321,collision
-0.819738,42,7752.279669,collision
-0.876637,49,7765.06908,collision
-0.907812,49,7777.871611,collision
-0.906514,48,7790.425364,collision
-0.923326,46,7802.645703,collision
-0.954135,32,7811.994494,collision
-0.651035,119,7838.998845,collision
-1.193862,89,7859.942482,collision
-1.138154,3,7863.437937,collision
-0.740447,35,7873.427977,collision
1.345048,181,7912.87382,goal_reached
-1.337799,115,7939.055813,collision
-1.362468,4,7942.888564,collision
-0.65226,59,7957.733431,collision
-0.959241,40,7968.770668,collision
-0.872907,49,7981.56432,collision
-0.9142,46,7993.827617,collision
-1.043771,4,7997.525083,collision
1.511989,166,8033.909008,goal_reached
-1.546065,43,8045.499477,collision
-0.884945,48,8058.040972,collision
-0.898227,50,8070.90176,collision
-0.920022,50,8083.850317,collision
-0.878377,47,8096.195398,collision
-1.049506,3,8099.721817,collision
-0.367918,151,8133.144663,collision
-1.450023,61,8148.516512,collision
-0.815564,80,8167.541588,collision
-1.121582,20,8174.541398,collision
-0.671914,89,8195.447217,collision
-1.073268,55,8209.126807,collision
-0.914959,49,8221.878092,collision
-0.894702,48,8234.514524,collision
-0.956678,32,8243.84569,collision
-0.710712,105,8267.954243,collision
-1.215507,25,8275.870522,collision
-0.647978,98,8298.617135,collision
-1.144487,46,8310.978204,collision
-0.886827,50,8324.04947,collision
-0.841668,85,8344.049182,collision
-0.898591,107,8368.682131,collision
1.022477,161,8404.138056,goal_reached
0.650046,175,8442.448291,goal_reached
-1.552659,41,8453.592441,collision
-0.509223,172,8491.215411,collision
-1.587575,21,8498.391355,collision
-0.553696,124,8526.357896,collision
-1.308834,108,8551.251974,collision
-1.112008,3,8554.872571,collision
1.491267,180,8594.132029,goal_reached
-1.358846,111,8619.320444,collision
-1.25173,39,8630.105082,collision
-0.828204,41,8641.240154,collision
-0.931837,28,8649.753938,collision
-0.640797,117,8676.339225,collision
-1.092666,106,8700.599094,collision
-0.953011,173,8738.51113,collision
-1.283464,65,8754.658764,collision
-0.977564,54,8768.482741,collision
-0.94333,48,8781.073095,collision
-1.038473,2,8784.408699,collision
1.501543,178,8823.304778,goal_reached
-1.604091,23,8830.821706,collision
-0.928995,3,8834.415299,collision
-0.803918,5,8838.295082,collision
1.493893,168,8875.184317,goal_reached
-1.656397,261,8981.001886,collision
-0.989231,108,9005.704827,collision
