#{"t_start": 1753711455.9334316, "env_id": "None"}
r,l,t,reason
-10.785533,158,45137.034063,collision
-34.80746,282,45199.056301,collision
-16.801364,255,45255.779784,goal_reached
-21.517002,278,45317.060909,collision
-5.989476,157,45353.926838,collision
-6.197739,184,45396.291426,goal_reached
-18.579268,230,45447.866385,collision
-4.902949,108,45474.780329,collision
-24.328144,236,45527.438867,goal_reached
-1.773104,161,45565.136072,goal_reached
-4.034094,53,45581.020202,collision
-18.114471,239,45634.420693,collision
-15.742961,199,45679.685773,collision
-6.315574,123,45709.655799,collision
-3.804838,144,45743.756929,goal_reached
-9.676724,178,45784.858839,goal_reached
-11.146204,134,45817.156649,collision
-22.777518,244,45871.50849,goal_reached
-8.622227,175,45912.038174,goal_reached
-7.578641,115,45940.42673,collision
-9.3981,111,45967.944048,collision
-4.964468,102,45993.627261,collision
-6.03077,133,46025.517733,goal_reached
-22.160938,253,46081.776057,goal_reached
-11.630406,149,46117.027619,collision
-26.950604,305,47177.291547,collision
-9.147273,162,47215.031224,goal_reached
-7.679253,173,47255.157746,goal_reached
-11.293238,222,47305.207264,goal_reached
-2.64693,159,47342.465858,goal_reached
-5.411879,180,47384.001026,goal_reached
-5.482809,65,47402.275364,collision
-9.358777,105,47428.530069,collision
-39.921458,287,47491.669039,no_progress
-23.491174,209,47538.975401,collision
-21.042821,256,47595.715,goal_reached
-10.015878,210,47643.275558,goal_reached
-8.367079,211,47691.100031,goal_reached
-2.919665,143,47725.188348,goal_reached
-4.996031,59,47742.225371,collision
-30.910214,344,47816.846943,goal_reached
-12.830335,150,47852.328182,collision
-31.931536,243,47906.553676,collision
-9.020689,147,47941.323716,goal_reached
-3.119881,145,47975.708601,goal_reached
-35.51676,345,48050.539,collision
-6.021663,165,48088.933581,goal_reached
-3.800233,51,48104.364311,collision
-2.947779,37,48116.950984,collision
-8.682093,116,48145.456104,collision
-1.743522,125,48175.741168,goal_reached
-15.46917,227,48226.765924,goal_reached
-26.946206,464,49607.691437,goal_reached
-18.110995,233,49659.913639,goal_reached
-2.851592,137,49692.766459,goal_reached
-26.898983,276,49753.720959,goal_reached
-17.246829,133,49785.733976,collision
-3.693009,111,49813.300081,collision
-0.344501,107,49839.943051,goal_reached
-11.251327,222,49890.010465,goal_reached
-17.261638,216,49938.809186,goal_reached
-30.151654,313,50007.101666,goal_reached
-13.573682,173,50046.956897,goal_reached
-10.038894,168,50086.08711,goal_reached
-5.211556,71,50105.607445,collision
-10.599857,163,50143.568851,goal_reached
-8.763283,308,50211.289298,no_progress
-39.995385,478,50313.02238,goal_reached
-1.999445,77,50333.74443,collision
-3.101783,40,50346.888478,collision
-3.984788,52,50362.430652,collision
-7.288488,155,50398.763997,goal_reached
-3.23463,144,50433.045008,goal_reached
-2.838069,139,50466.276406,goal_reached
-1.362246,108,50493.236877,goal_reached
-35.298791,334,50565.936291,collision
-1.867769,123,50595.863665,goal_reached
-2.754287,116,50624.472746,goal_reached
-3.427,138,50657.468904,goal_reached
-8.186903,161,50695.171037,goal_reached
-1.837627,115,50723.525757,goal_reached
-0.639565,138,51365.892139,goal_reached
-3.273219,54,51381.930421,collision
-9.747177,112,51409.668844,collision
-8.120376,201,51455.509481,goal_reached
-8.845021,151,51491.17786,collision
-3.58595,19,51500.098436,collision
-10.325243,137,51532.178401,collision
-9.197954,191,51575.823278,goal_reached
-7.787838,101,51601.356327,collision
-15.985144,162,51639.237437,collision
-5.266125,74,51659.254221,collision
-14.425337,163,51697.226469,goal_reached
-32.080086,314,51765.777349,collision
-2.309589,129,51796.895952,goal_reached
-30.09605,282,51859.030272,collision
-13.017732,112,51886.746045,collision
-6.728178,149,51922.007932,goal_reached
-13.04198,129,51953.161596,collision
-5.666851,92,51976.7988,collision
-4.46284,37,51989.337892,collision
-30.771572,313,52057.717497,goal_reached
-19.872263,225,52108.333522,goal_reached
-35.083226,290,52172.201698,no_progress
-21.539067,189,52215.531061,collision
-25.565171,346,52290.583699,no_progress
-8.599057,105,52316.977393,collision
-11.203563,157,52353.719284,collision
-2.67154,113,52381.671291,goal_reached
-3.691069,29,52392.641281,collision
-3.516157,62,52410.184399,collision
-20.672336,204,52456.546794,goal_reached
-2.946493,142,52490.435806,goal_reached
-1.270211,71,52509.952358,collision
-9.667413,111,53028.185332,collision
-35.829242,319,53097.59595,collision
-8.536929,79,53118.588634,collision
-25.589871,326,53189.590097,goal_reached
-4.541549,40,53202.882599,collision
-18.486557,165,53241.544448,collision
-6.947962,90,53264.913934,collision
-4.787907,94,53288.948107,collision
-3.285436,48,53303.751366,collision
0.460563,131,53335.276029,goal_reached
-4.385704,49,53350.396825,collision
-3.622621,58,53367.180276,collision
-8.177306,152,53403.035092,goal_reached
