#{"t_start": 1752340132.2750878, "env_id": "None"}
r,l,t,reason
-0.712639,124,33521.95038,collision
1.054957,274,33582.049248,collision
2.402209,222,33631.737039,goal_reached
-1.626639,107,33658.462163,collision
2.627542,225,33708.995344,goal_reached
3.670786,266,34328.722565,goal_reached
2.784201,143,34362.608992,goal_reached
4.030742,150,34397.951188,goal_reached
-1.21041,89,34421.004557,collision
3.546879,135,34453.316556,goal_reached
3.293206,162,34491.132559,goal_reached
-1.356052,102,34516.742305,collision
2.94777,183,34558.709131,goal_reached
-2.486093,66,34577.041227,collision
-2.116546,256,34633.503665,goal_reached
2.145511,130,34664.700322,goal_reached
2.79273,174,34704.906483,goal_reached
-2.805964,367,34783.782161,collision
2.468296,256,34840.182825,goal_reached
-0.66944,285,34902.903262,collision
-1.437408,63,34920.672584,collision
-1.14007,50,34935.781358,collision
3.024461,217,34984.491744,goal_reached
2.663045,208,35031.432478,goal_reached
2.804912,178,35072.304698,goal_reached
3.800662,139,35105.382245,goal_reached
3.886372,157,35142.055006,goal_reached
-1.649886,84,35164.089145,collision
3.656186,206,35210.605834,goal_reached
-1.506152,62,35228.172719,collision
1.84188,254,35284.412172,goal_reached
3.301393,197,35329.178599,goal_reached
2.468218,179,35370.3929,goal_reached
2.783958,265,35428.798403,goal_reached
-1.244873,270,36487.626296,collision
3.858729,171,36527.018879,goal_reached
-0.775965,44,36540.9792,collision
-0.961442,35,36553.029865,collision
1.442911,170,36592.306241,goal_reached
1.617926,184,36634.344516,goal_reached
1.796784,248,36689.313968,goal_reached
-0.964583,50,36704.487866,collision
2.617054,113,36732.318895,goal_reached
2.866185,143,36766.232829,goal_reached
3.388917,118,36795.192253,goal_reached
-0.203742,164,36833.453202,collision
2.883177,111,36860.839435,goal_reached
3.654167,144,36894.898752,goal_reached
1.077271,179,36936.154331,goal_reached
1.804241,126,36966.813311,goal_reached
-0.983787,163,37004.674263,collision
2.172163,245,37059.139565,goal_reached
0.227958,218,37108.051686,collision
2.738236,205,37154.330991,goal_reached
0.057804,154,37190.397511,collision
2.818997,173,37230.146379,goal_reached
-0.867465,385,37312.808374,goal_reached
-0.996522,208,37359.989096,collision
2.627206,173,37400.043389,goal_reached
3.081538,194,37444.311626,goal_reached
4.094115,144,37478.446,goal_reached
2.906835,123,37508.350309,goal_reached
-1.074837,61,37525.682233,collision
0.483194,140,37558.872895,collision
3.398238,149,37593.900567,goal_reached
-0.768759,66,37612.230887,collision
-0.960169,76,38191.500619,collision
-1.27242,112,38219.059847,collision
-1.704,130,38250.312232,collision
2.741392,263,38308.549487,goal_reached
